"UniversityName","Apps","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate","public","private","selective","more_selective","non_selective","total_enrollment","col_white","mkt_white","dif_white","col_hispa","mkt_hispa","dif_hispa","col_black","mkt_black","dif_black","col_asian","mkt_asian","dif_asian","col_amind","mkt_amind","dif_amind","col_pacis","mkt_pacis","dif_pacis","col_twora","mkt_twora","dif_twora","Longitude location of institution","Latitude location of institution","Bachelor's degrees awarded","Master's degrees awarded","Doctor's degrese - research/scholarship awarded","SAT Math 75th percentile score","ACT Composite 75th percentile score","Tuition and fees, 2013-14","Total price for in-state students living on campus 2013-14","Total price for out-of-state students living on campus 2013-14","Graduation rate - Bachelor degree within 4 years, total","Graduation rate - Bachelor degree within 6 years, total","Percent of freshmen receiving any financial aid","Percent of freshmen receiving Pell grants","Endowment assets (year end) per FTE enrollment (FASB)","AcceptanceRate"
"Abilene Christian University",1660,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60,0,1,1,0,0,3681.22222222222,70.3166788888889,55.9688322222222,14.347847,12.3648775555556,26.7381255555556,-14.3732455555556,7.97135188888889,6.63518555555556,1.33616613333333,1.04871053333333,1.00731127777778,0.0413992222222222,0.4027647,0.658738755555555,-0.255974077777778,0.0677856625,0.0836809777777778,-0.0186279875,3.912699875,2.37430577777778,1.4883192125,-99.70954,32.46915,698,305,0,600,27,28350,41800,41800,37,57,99,23,82162,0.742168674698795
"Adelphi University",2186,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56,0,1,1,0,0,5005.66666666667,53.7586044444444,43.0476366666667,10.7109682222222,12.7338788888889,20.4921711111111,-7.75829488888889,10.4177543333333,17.1491744444444,-6.73142233333333,8.02029622222222,6.96704711111111,1.05324815555556,0.1821879,0.2988877,-0.116699811111111,0.162757175,0.0536537333333333,0.10741235,2.247363625,2.85698788888889,-0.7124785625,-73.653321,40.721439,1269,1053,32,620,24,30800,47110,47110,53,63,96,32,20248,0.880146386093321
"Adrian College",1428,22,50,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54,0,1,1,0,0,1635.22222222222,74.5892155555556,70.27549,4.31372466666667,3.65542055555556,5.79825822222222,-2.14283781111111,8.13216288888889,15.9350611111111,-7.80289955555556,0.442940588888889,2.922291,-2.47935055555556,0.2498619,0.376296966666667,-0.126435044444444,0.0753222375,0.0383182777777778,0.036226225,3.2762225,3.05942566666667,0.108991225,-84.059947,41.898449,270,0,0,440,24,30758,42740,42740,39,54,98,50,16118,0.768207282913165
"Alaska Pacific University",193,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,0,1,1,0,0,344.888888888889,55.3229811111111,58.5372733333333,-3.21428977777778,3.55527008888889,8.77699077777778,-5.22172033333333,3.67825244444444,5.319486,-1.64123366666667,1.89907048888889,5.87620477777778,-3.97713455555556,16.5580166666667,7.23161333333333,9.32640222222222,0.6580527875,1.86674077777778,-1.298989925,8.36726522222222,10.4754686666667,-2.10820197777778,-149.804242,61.191235,74,45,0,510,24,29810,43180,43180,25,40,100,42,192792,0.756476683937824
"Albion College",1899,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,0,1,0,1,0,1444.77777777778,78.6137088888889,52.4858511111111,26.1278588888889,4.12550146666667,18.6902144444444,-14.5647122222222,5.45055044444444,13.8358366666667,-8.385286,2.073389,4.63447088888889,-2.56108166666667,0.245727844444444,0.920568611111111,-0.6748408,0.070045125,0.205424322222222,-0.1378449125,2.73507022222222,3.21255622222222,-0.477486066666667,-84.746088,42.244603,321,0,0,590,28,36051,48195,48195,64,74,99,24,121935,0.905739863085835
"Albright College",1038,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80,0,1,1,0,0,2248.33333333333,60.6555888888889,56.3268011111111,4.32878555555556,8.60464622222222,11.8635468888889,-3.25889891111111,15.5050466666667,19.4256877777778,-3.92064275555556,2.24041911111111,4.970972,-2.730553,0.631995722222222,0.240287377777778,0.391708333333333,0.0053579125,0.0619854777777778,-0.0563635375,1.144401625,2.66122011111111,-1.6234703875,-75.910152,40.360248,514,11,0,570,25,36660,49160,49160,48,54,99,50,24918,0.808285163776493
"Alfred University",1732,37,75,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73,0,1,1,0,0,1820.55555555556,67.8382922222222,78.3694266666667,-10.5311301111111,6.16258277777778,5.63292933333333,0.529653122222222,7.756641,8.22870011111111,-0.472058888888889,1.86216044444444,3.29725811111111,-1.43509755555556,0.224739888888889,0.313925011111111,-0.0891851111111111,0,0.0345045111111111,-0.0297085,2.1047578875,2.28596066666667,-0.2732536,-77.788625,42.255866,356,177,6,610,27,25430,39948,39948,45,62,100,40,38886,0.822748267898383
"Allegheny College",2652,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76,0,1,0,1,0,2007.33333333333,79.8465533333333,52.4858511111111,27.3607044444444,5.89808088888889,18.6902144444444,-12.7921344444444,5.34978855555556,13.8358366666667,-8.48604755555556,2.76160355555556,4.63447088888889,-1.8728674,0.103765255555556,0.920568611111111,-0.816803388888889,0.0262017125,0.205424322222222,-0.1816883375,3.490660625,3.21255622222222,0.1753644375,-80.146922,41.648068,463,0,0,650,29,39100,52020,52020,74,79,100,26,78877,0.716440422322775
"Alma College",1267,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68,0,1,1,0,0,1390.66666666667,85.6412211111111,68.9561933333333,16.6850288888889,3.64129922222222,5.76653455555556,-2.12523522222222,2.89556911111111,16.9849377777778,-14.0893711111111,1.40545566666667,3.23824133333333,-1.83278566666667,0.724693166666667,0.446193688888889,0.2784995,0.053988175,0.0404641888888889,0.0143602875,1.9989925125,3.05171522222222,-1.1616929125,-84.670073,43.379236,281,0,0,630,27,32660,44287,44287,43,61,100,33,74030,0.85240726124704
"American International College",1420,9,22,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69,0,1,1,0,0,1523.11111111111,41.6597455555556,62.6704855555556,-21.0107388888889,11.5316833333333,14.1339255555556,-2.60224305555556,25.2533977777778,8.98352377777778,16.2698733333333,1.73610444444444,5.18648522222222,-3.45038077777778,0.465200733333333,0.272005711111111,0.193195044444444,0.574969525,0.0514033555555556,0.5249423375,2.70281444444444,3.09744277777778,-0.394628344444444,-72.558507,42.112708,293,610,23,500,21,30040,44900,44900,28,45,100,51,2819,0.769718309859155
